Date,Gallons,Price,GasTotal,Station,Total
8/27/2022,12.738,5.499,70.00,Arco,
7/3/2022,10.158,6.399,65.00,Arco,
6/15/2022,5.556,6.299,34.00,Arco,
7/11/2022,6.036,5.799,35.00,Arco,
7/9/1978,12.738,5.499,70.00,Arco,
10/31/2023,10.379,5.299,55.00,Arco,
11/28/2023,6.384,4.699,30.00,Arco,
12/1/2023,9.617,5.199,50.00,Arco,
12/7/2023,3.617,4.699,17.00,Arco,
12/11/2023,3.192,4.699,15.00,Arco,
12/12/2023,6.523,4.599,30.00,Arco,
1/7/2024,10.002,4.999,50.00,Arco,
1/8/2024,4.168,4.799,20.00,Arco,
1/11/2024,4.259,4.699,20.01,Arco,
1/22/2024,4.568,4.599,21.01,Arco,
1/24/2024,7.780,4.499,35.00,Arco,
1/28/2024,10.207,4.889,50.00,Arco,
1/31/2024,4.446,4.499,20.00,Arco,
2/20/2024,10.206,4.889,50.00,Arco,
